"BOX","MONTH","DEPTH_BIN","min_val","max_val","n","sd","min_depth","max_depth","variable"
7,"07",3,0.013,5.42,34,1.30453828337791,30,100,"Ammonia"
7,"07",4,0,1.441,33,0.354337492670648,100,5000,"Ammonia"
7,"08",1,0.011,0.802,48,0.161263856681003,0,10,"Ammonia"
7,"08",2,0.064,1.429,44,0.285866295865831,10,30,"Ammonia"
7,"08",3,0.131,2.244,46,0.454241734787974,30,100,"Ammonia"
7,"08",4,0.064,1.427,58,0.219398735645085,100,5000,"Ammonia"
7,"09",1,0,6.736,175,1.24809632843024,0,10,"Ammonia"
7,"09",2,0,6.532,265,1.13363490568724,10,30,"Ammonia"
7,"09",3,0,6.503,653,1.02529615307012,30,100,"Ammonia"
7,"09",4,0,15.948,1091,1.65915928261884,100,5000,"Ammonia"
7,"10",1,0,0.695,136,0.17828208165707,0,10,"Ammonia"
7,"10",2,0,0.887,191,0.19061547678239,10,30,"Ammonia"
7,"10",3,0,3.3525,528,0.420808565630525,30,100,"Ammonia"
7,"10",4,0,2.299,774,0.244974325005057,100,5000,"Ammonia"
7,"11",1,0.234,0.59,14,0.0989868733666293,0,10,"Ammonia"
7,"11",2,0.223,0.497,10,0.086404475192743,10,30,"Ammonia"
7,"11",3,0.172,0.505,39,0.0898380759591265,30,100,"Ammonia"
7,"11",4,0.151,0.531,65,0.089577284530433,100,5000,"Ammonia"
7,"12",1,0.1775,0.493,19,0.0995935599975343,0,10,"Ammonia"
7,"12",2,0.1625,0.567,25,0.0918695860082831,10,30,"Ammonia"
7,"12",3,0.142,0.55,57,0.085488111816233,30,100,"Ammonia"
7,"12",4,0.1185,0.771,164,0.0903160371717145,100,5000,"Ammonia"
8,"04",1,0,1.5785,120,0.346671145375144,0,10,"Ammonia"
8,"04",2,0,2.23,174,0.393276169215399,10,30,"Ammonia"
8,"04",3,0,2.589,465,0.441638852445667,30,100,"Ammonia"
8,"04",4,0,1.513,364,0.315536790286816,100,5000,"Ammonia"
8,"05",1,0.198,1.48,23,0.345600720062198,0,10,"Ammonia"
8,"05",2,0.24,1.419,30,0.408718295195586,10,30,"Ammonia"
8,"05",3,0.53,3.559,60,0.690219832949337,30,100,"Ammonia"
8,"05",4,0,2.154,81,0.459178715644829,100,5000,"Ammonia"
8,"06",1,0.02,0.52,32,0.15579142383949,0,10,"Ammonia"
8,"06",2,0.02,2.09,43,0.409542326192937,10,30,"Ammonia"
8,"06",3,0.2,2.14,26,0.734589786102525,30,100,"Ammonia"
8,"06",4,0,1.24,95,0.23763216985984,100,5000,"Ammonia"
8,"07",1,0.087,1.428,32,0.357463143825414,0,10,"Ammonia"
8,"07",2,0.087,1.409,32,0.365457374726432,10,30,"Ammonia"
8,"07",3,0.087,2.646,33,0.613356261408564,30,100,"Ammonia"
8,"07",4,0.087,2.149,46,0.392631782240206,100,5000,"Ammonia"
